id,kanji,yomi
1,白組が圧勝する。,白組がアッショウする。
2,教室を移動する。,教室をイドウする。
3,事故の原因を調べる。,事故のゲンインを調べる。
4,永久に平和を守る。,エイキュウに平和を守る。
5,会社を経営する。,会社をケイエイする。
6,小さなお店を営む。,小さなお店をイトナむ。
7,人工衛星を打ち上げる。,ジンコウエイセイを打ち上げる。
8,中国と貿易する。,中国とボウエキをする。
9,易しい問題。,ヤサしい問題。
10,利益を上げる。,リエキを上げる。
11,水は液体だ。,水はエキタイだ。
12,げきで主役を演じる。,げきで主役をエンじる。
13,全力で応えんする。,全力でオウえんする。
14,眼科でしん察を受ける。,ガンカでしん察を受ける。
15,人々が往来する。,人々がオウライする。
16,桜が満開になる。,サクラが満開になる。
17,庭の周りをさくで囲う。,庭の周りをさくでカコう。
18,議会で可決された。,議会でカケツされた。
19,仮の家に住む。,カリの家に住む。
20,商品の価格が下がる。,商品のカカクが下がる。
21,大河が流れる。,タイガが流れる。
22,時が過ぎ去る。,時がスぎ去る。
23,今は二十一世紀だ。,今は二十一セイキだ。
24,快い羽音が聞こえる。,ココロヨい羽音が聞こえる。
25,今日は快晴だ。,今日はカイセイだ。
26,問題が解決する。,問題がカイケツする。
27,作業の手順を確かめる。,作業の手順をタシかめる。
28,確実に終わらせる。,カクジツに終わらせる。
29,ノートの金額をたずねる。,ノートのキンガクをたずねる。
30,額にきずを負う。,ヒタイにきずを負う。
31,夕刊を取りに行く。,ユウカンを取りに行く。
32,新幹線に乗る。,シンカンセンに乗る。
33,仕事に慣れる。,仕事にナれる。
34,早起きの習慣が身に付く。,早起きのシュウカンが身に付く。
35,基本的な考え方。,キホンテキな考え方。
36,ヒマラヤ山脈。,ヒマラヤサンミャク。
37,学校の規則を守る。,学校のキソクを守る。
38,技術を受けつぐ。,ギジュツを受けつぐ。
39,国民の義務を知る。,国民のギムを知る。
40,逆上がりをする。,サカアがりをする。
41,逆転勝ちをする。,ギャクテン勝ちをする。
42,旧友と会う。,キュウユウと会う。
43,旅行の費用を出す。,旅行のヒヨウを出す。
44,新居に引っこす。,シンキョに引っこす。
45,失敗を許す。,失敗をユルす。
46,許可状が出る。,キョカジョウが出る。
47,となり町との境。,となり町とのサカイ。
48,境界線を引く。,キョウカイセンを引く。
49,品質を均一にする。,品質をキンイツにする。
50,立ち入り禁止。,立ち入りキンシ。
51,語句の意味を調べる。,ゴクの意味を調べる。
52,大会でゆう勝して喜ぶ。,大会でゆう勝してヨロコぶ。
53,子どもの命を救う。,子どもの命をスクう。
54,いつも清潔にする。,いつもセイケツにする。
55,小麦粉を買う。,コムギコを買う。
56,電車のも型を作る。,電車のもケイを作る。
57,険しい表情。,ケワしい表情。
58,中国からの留学生。,中国からのリュウガクセイ。
59,宿題の期限を決める。,宿題のキゲンを決める。
60,限りある命。,カギりある命。
61,すがたを現す。,すがたをアラワす。
62,現在の住所。,ゲンザイの住所。
63,水の量が減る。,水の量がヘる。
64,人口が減少する。,人口がゲンショウする。
65,交通事故にあう。,交通ジコにあう。
66,個人的な考え。,コジンテキな考え。
67,太平洋を航海する。,太平洋をコウカイする。
68,薬が効く。,薬がキく。
69,効果的に使う。,コウカテキに使う。
70,厚さ二センチメートルの本。,アツさ二センチメートルの本。
71,畑を耕す。,畑をタガヤす。
72,耕地面積を広げる。,コウチ面積を広げる。
73,建物の構造。,建物のコウゾウ。
74,鉱山で働く。,コウザンで働く。
75,興味がある話。,キョウミがある話。
76,東北の復興を願う。,東北のフッコウを願う。
77,大学の講義室。,大学のコウギシツ。
78,道が混雑する。,道がコンザツする。
79,機械の検査をする。,機械のケンサをする。
80,再びくり返す。,フタタびくり返す。
81,火災が発生する。,カサイが発生する。
82,夫と妻。,夫とツマ。
83,テストの採点をする。,テストのサイテンをする。
84,実際に起こった話。,ジッサイに起こった話。
85,地方財政を見直す。,地方ザイセイを見直す。
86,犯罪をなくす。,ハンザイをなくす。
87,酸素が発生する。,サンソが発生する。
88,友だちの考えに賛成する。,友だちの考えにサンセイする。
89,人びとが支え合う。,人びとがササえ合う。
