id,kanji,yomi
1,永治プラザ。,エイジプラザ。
2,宗像神社。,ムナカタ神社。
3,将監川の流れ。,ショウゲン川の流れ。
4,印旛沼の干拓。,インバ沼の干拓。
5,田の多い萩原。,田の多いハギワラ。
6,多々羅田公園。,タタラダ公園。
7,長門川の水をくみ上げる。,ナガト川の水をくみ上げる。
8,武西の百庚申塚。,ムザイの百庚申塚。
9,浦部の神楽。,ウラベの神楽。
10,宝珠院観音堂。,ホウシュイン観音堂。
11,木下貝層。,キオロシ貝層。
12,安食卜杭を通る電車。,アジキボックイを通る電車。
13,発作にある干拓の石碑。,ホッサクにある干拓の石碑。
14,師戸にある印旛沼公園。,モロトにある印旛沼公園。
15,六合小学校。,ロクゴウ小学校。
16,平賀小学校。,ヒラカ小学校。
17,龍腹寺の大きな鐘。,リュウフク寺の大きな鐘。
18,草深のすいか畑。,ソウフケのすいか畑。
19,押付の水塚。,オシツケの水塚。
20,上宿古墳の石室。,カミジュク古墳の石室。
21,本埜郵便局。,モトノ郵便局。
22,吉高の大桜。,ヨシタカの大桜。
23,鎌苅干拓。,カマガリ干拓。
24,松虫寺。,マツムシ寺。
25,阿夫利神社。,アフリ神社。
26,鹿黒の七夕。,カグロの七夕。
27,結縁寺の不動明王。,ケチエン寺の不動明王。
28,船穂小学校。,フナホ小学校。
29,亀成川の自然を守る。,カメナリ川の自然を守る。
30,印旛沼の甚兵衛大橋。,印旛沼のジンベエ大橋。
